Age,EstimatedSalary,Purchased
25,64758,0
38,112409,1
47,111211,0
33,105697,1
29,56065,1
26,51606,0
47,51534,0
39,134663,0
25,59397,1
44,131387,0
37,41016,1
41,129789,1
29,74591,1
29,42247,0
42,64300,1
39,114065,1
22,28268,0
26,31185,0
42,103704,0
21,58099,0
40,48571,1
39,145512,1
20,57044,0
42,91214,1
30,80228,1
48,88984,1
24,59774,0
20,21568,1
50,102592,0
46,107563,1
39,42695,0
19,67190,0
30,24258,1
44,127538,1
40,79504,0
47,73159,1
30,32986,0
43,101858,1
35,52666,0
45,78660,1
45,43561,1
49,66854,0
28,83505,0
50,144488,1
46,92251,0
46,62662,0
34,48392,0
33,70535,1
48,118603,0
48,92256,1
33,129135,1
48,75222,0
37,117373,0
30,82335,1
41,50965,0
38,64538,0
50,148066,1
43,110592,0
21,27110,0
23,46266,0
37,92992,0
25,25910,0
39,130982,0
27,19206,0
25,42419,0
36,90636,0
22,69015,1
43,147059,1
46,94268,0
32,127939,1
36,58141,0
44,120356,1
27,75044,1
44,107214,0
39,73827,1
20,74820,0
38,102623,0
46,121734,0
33,115450,1
46,133426,1
25,41299,0
30,62585,1
47,149225,1
26,83044,0
33,82557,1
21,68080,0
32,149556,1
35,42693,0
22,88163,1
36,65939,1
26,67925,0
22,61941,1
20,40834,0
48,58047,1
24,45105,0
40,115766,1
28,34707,0
22,40976,0
40,84262,1
47,63776,1
